event_name,medal,medalist_name,medalist_wikidata_id,country_medal,delegation_name,sex_or_gender
athletics at the 2020 Summer Olympics – men's 3000 metres steeplechase,bronze,Benjamin Kigen,Q54265459,Kenya,Kenya at the 2020 Summer Olympics,male
athletics at the 2020 Summer Olympics – women's 3000 metres steeplechase,bronze,Hyvin Kiyeng Jepkemoi,Q16558877,Kenya,Kenya at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Roneisha McGregor,Q57314742,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Candice McLeod,Q107360805,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – women's 4 × 400 metres relay,bronze,Junelle Bromfield,Q29079569,Jamaica,Jamaica at the 2020 Summer Olympics,female
athletics at the 2020 Summer Olympics – mixed 4 × 400 metres relay,silver,Anabel Medina,Q106686904,Dominican Republic,Dominican Republic at the 2020 Summer Olympics,female
badminton at the 2020 Summer Olympics – women's doubles,gold,Apriyani Rahayu,Q23723804,Indonesia,Indonesia at the 2020 Summer Olympics,female
cycling at the 2020 Summer Olympics – men's individual road race,gold,Richard Carapaz,Q16298132,Ecuador,Ecuador at the 2020 Summer Olympics,male
cycling at the 2020 Summer Olympics – women's cross-country,silver,Sina Frei,Q25338319,Switzerland,Switzerland at the 2020 Summer Olympics,female
diving at the 2020 Summer Olympics – women's synchronized 3 metre springboard,bronze,Lena Hentschel,Q56062891,Germany,Germany at the 2020 Summer Olympics,female
fencing at the 2020 Summer Olympics – women's team sabre,bronze,Choi Soo-yeon,Q55281975,South Korea,South Korea at the 2020 Summer Olympics,female
field hockey at the 2020 Summer Olympics – women's tournament,gold,Stella van Gils,Q107177410,Netherlands,Netherlands at the 2020 Summer Olympics,female
field hockey at the 2020 Summer Olympics – women's tournament,bronze,Isabelle Petter,Q64650812,United Kingdom,Great Britain at the 2020 Summer Olympics,female
judo at the 2020 Summer Olympics – mixed team event,bronze,Li Kochman,Q64816214,Israel,Israel at the 2020 Summer Olympics,male
karate at the 2020 Summer Olympics – men's 67 kg,bronze,Abdelrahman Al-Masatfa,Q107198429,Jordan,Jordan at the 2020 Summer Olympics,male
karate at the 2020 Summer Olympics – women's 61 kg,bronze,Giana Farouk,Q24262923,Egypt,Egypt at the 2020 Summer Olympics,female
rowing at the 2020 Summer Olympics – men's quadruple sculls,silver,Tom Barras,Q41508011,United Kingdom,Great Britain at the 2020 Summer Olympics,male
rowing at the 2020 Summer Olympics – women's quadruple sculls,gold,Chen Yunxia,Q66934283,People's Republic of China,China at the 2020 Summer Olympics,female
